dataset,montage,feature_family,classifier,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
UAB,full,fbcsp,random_forest,8,0,42,0.8951567445692235,0.9301075268817204,744,186,14,
UAB,full,bandpower,lda,8,0,42,0.9758064516129032,0.9838709677419356,744,186,14,
UAB,full,bandpower,svm,8,0,42,0.9596599288626704,0.9731182795698924,744,186,14,
UAB,full,bandpower,decision_tree,8,0,42,0.8548135299219428,0.9032258064516128,744,186,14,
UAB,full,bandpower,random_forest,8,0,42,0.9758012056030184,0.9838709677419356,744,186,14,
UAB,full,fbcsp,lda,8,1,42,0.9435655151488882,0.9623655913978496,744,186,14,
UAB,full,fbcsp,svm,8,1,42,0.9596739224698638,0.9731182795698924,744,186,14,
UAB,full,fbcsp,decision_tree,8,1,42,0.830637818150284,0.8870967741935484,744,186,14,
UAB,full,fbcsp,random_forest,8,1,42,0.9193758127438232,0.946236559139785,744,186,14,
UAB,full,bandpower,lda,8,1,42,1.0,1.0,744,186,14,
UAB,full,bandpower,svm,8,1,42,0.9838667707520168,0.989247311827957,744,186,14,
UAB,full,bandpower,decision_tree,8,1,42,0.8790060280150918,0.9193548387096774,744,186,14,
UAB,full,bandpower,random_forest,8,1,42,1.0,1.0,744,186,14,
UAB,full,fbcsp,lda,8,2,42,0.9435532818867596,0.9623655913978496,744,186,14,
UAB,full,fbcsp,svm,8,2,42,0.9596669268800416,0.9731182795698924,744,186,14,
UAB,full,fbcsp,decision_tree,8,2,42,0.8467276748926573,0.8978494623655914,744,186,14,
