dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.1167,0.5583,120,52,84,33.0,361.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.2167,0.6083,120,64,84,35.0,364.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.1333,0.5667,120,16,84,29.0,inf
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0833,0.5417,120,96,84,42.0,inf
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0667,0.5333,120,18,84,32.0,inf
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.0333,0.4833,120,52,84,34.0,inf
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.1,0.45,120,64,84,42.0,inf
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,0.5769,0.7885,52,84,146,56.0,184.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.1154,0.4423,52,82,146,62.0,191.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0,0.5,52,90,146,64.0,210.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,0.2308,0.6154,52,70,146,51.0,186.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,fixed,,0.6154,0.8077,52,84,146,32.0,156.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.0769,0.4615,52,82,146,59.0,302.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,fixed,,0.5385,0.7692,52,90,146,34.0,156.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,fixed,,0.7308,0.8654,52,70,146,21.0,156.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,fixed,,0.4231,0.7115,52,86,146,20.0,156.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.3077,0.6538,52,84,146,53.0,175.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.5,0.75,52,82,146,61.0,207.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.3462,0.6731,52,90,146,47.0,162.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.6923,0.8462,52,70,146,32.0,161.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.3462,0.6731,52,86,146,29.0,160.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.5769,0.7885,52,84,146,56.0,inf
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.1154,0.4423,52,82,146,62.0,inf
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0,0.5,52,90,146,64.0,inf
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.2308,0.6154,52,70,146,51.0,inf
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.4231,0.7115,52,86,146,60.0,inf
